p1-cat0             p2-cat0             p1-cat1             p2-cat1             p1-cat2             p2-cat2             p1-cat3             p2-cat3             p1-cat4             p2-cat4             
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.046406800         0.000072799         0.103284000         0.000195957         0.081316000         0.000157363         0.088531000         0.000087820         0.036000600         0.000094677         
0.046406800         0.000072799         0.103284000         0.000195957         0.081316000         0.000157363         0.088531000         0.000087820         0.036000600         0.000094677         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.053194100         0.000089898         0.071616900         0.000214220         0.060488200         0.000282903         0.097771100         0.000080012         0.041361900         0.000080726         
0.046406800         0.000072799         0.103284000         0.000195957         0.081316000         0.000157363         0.088531000         0.000087820         0.036000600         0.000094677         
0.046406800         0.000072799         0.103284000         0.000195957         0.081316000         0.000157363         0.088531000         0.000087820         0.036000600         0.000094677         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.058219500         0.000115202         0.078886400         0.000240819         0.072311900         0.000305146         0.086399000         0.000179177         0.047846100         0.000097121         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
0.042811500         0.000105386         0.075930200         0.000199248         0.074047900         0.000277587         0.100000000         0.000500000         0.037180700         0.000064521         
