Scale_ID        s0_MS         Scale_MS      Scale_ID_SUp    s0_MS_SUp     Scale_MS_SUp   Scale_ID_SDw  s0_MS_SDw    Scale_MS_SDw Scale_CB     Scale_CB_err
-0.0006760  0.0007960   0.0027250   0.0003050   0.0201080   0.0009350   0.0029650   0.0354210   0.0005880   -1  -1
-0.0006760  -0.0326540  0.0047280   0.0003050   0.0207820   0.0006280   0.0029650   0.0209340   0.0009520   -1  -1
-0.0002090  -0.0036940  0.0027890   0.0000570   0.0126760   0.0016360   0.0003920   0.0292760   0.0013010   -1  -1
-0.0002090  -0.0124500  0.0028640   0.0000570   0.0104820   0.0003210   0.0003920   0.0104820   0.0013740   -1  -1
-0.0011620  -0.0550850  0.0028480   0.0001020   0.0207380   0.0008710   0.0002790   0.0262650   0.0021010   -1  -1
-0.0011620  -0.0426350  0.0024340   0.0001020   0.0124580   0.0009210   0.0002790   0.0277400   0.0013860   -1  -1
-0.0013470  0.0007830   -0.0035520  0.0000680   0.0290980   0.0013110   0.0001760   0.0394500   0.0029610   -1  -1
-0.0013470  -0.0508580  -0.0031740  0.0000680   0.0164440   0.0009240   0.0001760   0.0270670   0.0012560   -1  -1
-0.0012450  -0.0153310  -0.0053980  0.0006530   0.0228560   0.0004950   0.0002010   0.0137820   0.0006560   -1  -1
-0.0012450  0.0022950   -0.0056340  0.0006530   0.0244670   0.0006710   0.0002010   0.0117780   0.0010080   -1  -1
-0.0014190  -0.0855420  0.0011330   0.0007870   0.1197670   0.0026990   0.0002550   0.0311970   0.0035860   -1  -1
-0.0014190  -0.0696920  -0.0004070  0.0007870   0.0383800   0.0053770   0.0002550   0.0359780   0.0012710   -1  -1
-0.0016610  -0.0236920  0.0023610   0.0000830   0.0087670   0.0009700   0.0000860   0.0320950   0.0003630   -1  -1
-0.0016610  -0.0098190  -0.0012960  0.0000830   0.0163490   0.0005860   0.0000860   0.0174470   0.0004300   -1  -1
-0.0007040  0.0089620   0.0024170   0.0000450   0.0049130   0.0002530   0.0000650   0.0150620   0.0005580   -1  -1
-0.0007040  -0.0179310  -0.0017650  0.0000450   0.0180930   0.0002030   0.0000650   0.0066820   0.0004770   -1  -1
-0.0006270  -0.0281640  0.0018990   0.0000190   0.0060190   0.0003220   0.0000770   0.0152520   0.0003130   -1  -1
-0.0006270  -0.0329380  -0.0012130  0.0000190   0.0124880   0.0002540   0.0000770   0.0103230   0.0008230   -1  -1
-0.0007190  -0.0449380  0.0021420   0.0000350   0.0122490   0.0003820   0.0001070   0.0122490   0.0003820   -1  -1
-0.0007190  -0.0405460  -0.0007530  0.0000350   0.0109790   0.0009300   0.0001070   0.0098290   0.0012440   -1  -1
-0.0005370  -0.0067540  0.0025480   0.0000440   0.0063310   0.0002100   0.0001080   0.0077590   0.0011450   -1  -1
-0.0005370  -0.0045310  -0.0018250  0.0000440   0.0072370   0.0001690   0.0001080   0.0106440   0.0013800   -1  -1
-0.0007620  -0.0642620  0.0026480   0.0000770   0.0160500   0.0003650   0.0000980   0.0152210   0.0006230   -1  -1
-0.0007620  0.0067040   -0.0022970  0.0000770   0.0075210   0.0006920   0.0000980   0.0267410   0.0022420   -1  -1
-0.0003580  -0.1051540  0.0017060   0.0003160   0.0744540   0.0010740   0.0001510   0.0359270   0.0022270   -1  -1
-0.0003580  -0.0721380  -0.0003450  0.0003160   0.0920880   0.0009720   0.0001510   0.0322620   0.0032690   -1  -1
-0.0003650  0.0167130   -0.0006170  0.0002050   0.0469200   0.0010180   0.0000900   0.0382690   0.0015180   -1  -1
-0.0003650  0.0153350   -0.0026740  0.0002050   0.0481990   0.0011150   0.0000900   0.0343390   0.0019530   -1  -1
-0.0007790  -0.0821730  0.0032410   0.0000760   0.1571110   0.0026240   0.0002980   0.0427070   0.0055590   -1  -1
-0.0007790  -0.0003400  -0.0008370  0.0000760   0.0516580   0.0019860   0.0002980   0.0516580   0.0019860   -1  -1
-0.0006590  -0.0262310  0.0005950   0.0000880   0.0439180   0.0014750   0.0005050   0.0138110   0.0018440   -1  -1
-0.0006590  -0.0166900  0.0012770   0.0000880   0.0095170   0.0005520   0.0005050   0.0184100   0.0003740   -1  -1
-0.0002670  -0.0080690  0.0001210   0.0001220   0.0094690   0.0003840   0.0010540   0.0074220   0.0005640   -1  -1
-0.0002670  -0.0032380  -0.0002750  0.0001220   0.0067220   0.0007890   0.0010540   0.0050030   0.0003170   -1  -1
-0.0003210  0.0013130   -0.0003120  0.0001360   0.0268370   0.0005810   0.0012060   0.0155550   0.0006920   -1  -1
-0.0003210  0.0266080   -0.0012260  0.0001360   0.0073990   0.0003730   0.0012060   0.0144330   0.0003130   -1  -1
